id_fragmento,tabla,cuadro_origen,pagina_pdf,literal_actual,literal_pdf,clasificacion,tipo_elemento,causa,forma_fuente_confirmada,accion_futura,alcance_correccion,decision,confianza,evidencia_pdf,observaciones,apariciones_fuente,revision_origen
F011,apelaciones_por_tipo_proceso,6.1.1.3,419;420;421;422;423;424;425;426;427;428,EJECUCIÓN COACTIVA DE SUMAS DE DINERO CUR DE IÓN,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,fragmento_confirmado,proceso,texto_vertical_adherido,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 419;420;421;422;423;424;425;426;427;428, cuadro(s) 6.1.1.3: la fila fuente es «EJECUCIÓN COACTIVA DE SUMAS DE DINERO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",10 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,10,paso_3_1c
F012,apelaciones_por_tipo_proceso,6.1.1.4,435,EJECUCIÓN COACTIVA DE SUMAS DE DINERO DE,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,fragmento_confirmado,proceso,texto_vertical_adherido,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 435, cuadro(s) 6.1.1.4: la fila fuente es «EJECUCIÓN COACTIVA DE SUMAS DE DINERO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",1 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,1,paso_3_2b
F013,apelaciones_por_tipo_proceso,6.1.1.4,435;437,IO ORDINARIO,ORDINARIO,fragmento_confirmado,proceso,texto_vertical_adherido,ORDINARIO,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 435;437, cuadro(s) 6.1.1.4: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",2 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,2,paso_3_2b
F014,apelaciones_por_tipo_proceso,5.1.1;5.1.1.3,148;151;152;154;157;159;160;161;162;163;164,O CONCURSALES,CONCURSALES,fragmento_confirmado,proceso,texto_vertical_adherido,CONCURSALES,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 148;151;152;154;157;159;160;161;162;163;164, cuadro(s) 5.1.1;5.1.1.3: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",11 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,11,paso_3_2b
F015,apelaciones_por_tipo_proceso,5.1.1.3;6.1.1.3;6.1.1.4,143;144;145;146;147;148;149;150;151;152;423;424;425;426;427;429;436,O ORDINARIO,ORDINARIO,fragmento_confirmado,proceso,texto_vertical_adherido,ORDINARIO,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 143;144;145;146;147;148;149;150;151;152;423;424;425;426;427;429;436, cuadro(s) 5.1.1.3;6.1.1.3;6.1.1.4: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",17 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,17,paso_3_2b
F016,apelaciones_por_tipo_proceso,5.1.1;6.1.1.4,164;438,ORDINARIO O,ORDINARIO,fragmento_confirmado,proceso,texto_vertical_adherido,ORDINARIO,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 164;438, cuadro(s) 5.1.1;6.1.1.4: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",2 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,2,paso_3_2b
F017,apelaciones_por_tipo_proceso,6.1.1.4,431;433;434,RIO ORDINARIO,ORDINARIO,fragmento_confirmado,proceso,texto_vertical_adherido,ORDINARIO,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 431;433;434, cuadro(s) 6.1.1.4: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",3 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,3,paso_3_2b
F018,causas_por_tipo_proceso,6.3.2.1,627,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE ANTICORRUPCIÒN,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,concatenacion_confirmada,accion_penal,encabezado_padre_adherido,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 627, cuadro(s) 6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",1 apariciones fuente. Caso pendiente comprobado directamente en 3.2b. La fila es una acción penal y no debe tratarse como tipo de proceso genérico.,1,paso_3_2b
F019,causas_por_tipo_proceso,5.3.2.1;6.3.2.1,362;363;364;625;626;627,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE PENAL COMUN,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,concatenacion_confirmada,accion_penal,encabezado_padre_adherido,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 362;363;364;625;626;627, cuadro(s) 5.3.2.1;6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",16 apariciones fuente. Caso pendiente comprobado directamente en 3.2b. La fila es una acción penal y no debe tratarse como tipo de proceso genérico.,16,paso_3_2b
F020,causas_por_tipo_proceso,6.3.2.1,627,ACCIÓN PENAL PÙBLICA CONTRA LA,ACCIÓN PENAL PÙBLICA,concatenacion_confirmada,accion_penal,encabezado_padre_adherido,ACCIÓN PENAL PÙBLICA,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 627, cuadro(s) 6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",1 apariciones fuente. Caso pendiente comprobado directamente en 3.2b. La fila es una acción penal y no debe tratarse como tipo de proceso genérico.,1,paso_3_2b
F021,causas_por_tipo_proceso,5.3.2.1;6.3.2.1,362;363;364;625;626;627,ANTICORRUPCIÒN ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,concatenacion_confirmada,accion_penal,encabezado_padre_adherido,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 362;363;364;625;626;627, cuadro(s) 5.3.2.1;6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",20 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada. La fila es una acción penal y no debe tratarse como tipo de proceso genérico.,20,paso_3_1c
F022,causas_por_tipo_proceso,5.2.1.1,305,BENEFICIOS DEMANDA DE ADQUIRIDOS SOCIALES Y DERECHOS,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS,reordenamiento_confirmado,proceso,orden_de_bloques_pdf_intercalado,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS,corregir_extraccion,correccion_acotada_por_fila_contexto,confirmado,alta,"PDF pp. 305, cuadro(s) 5.2.1.1: la fila fuente es «DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",1 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,1,paso_3_1c
F023,causas_por_tipo_proceso,5.1.1.1,122,CONCURSALES ESO LES,CONCURSALES,fragmento_confirmado,proceso,texto_vertical_adherido,CONCURSALES,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 122, cuadro(s) 5.1.1.1: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",1 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,1,paso_3_1c
F024,causas_por_tipo_proceso,6.1.1.1,399;400;401;402;403;404;405;406;407,CONCURSALES S,CONCURSALES,fragmento_confirmado,proceso,texto_vertical_adherido,CONCURSALES,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 399;400;401;402;403;404;405;406;407, cuadro(s) 6.1.1.1: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",9 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,9,paso_3_1c
F025,causas_por_tipo_proceso,6.1.1.1,408,CONCURSALES SAL ES,CONCURSALES,fragmento_confirmado,proceso,texto_vertical_adherido,CONCURSALES,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 408, cuadro(s) 6.1.1.1: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",1 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,1,paso_3_1c
F026,causas_por_tipo_proceso,5.1.2.1;6.1.2.1,178;181;186;451,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR DE,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,fragmento_confirmado,proceso,texto_vertical_adherido,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 178;181;186;451, cuadro(s) 5.1.2.1;6.1.2.1: la fila fuente es «CONSTITUCIÓN DEL PATRIMONIO FAMILIAR»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",4 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,4,paso_3_1c
F027,causas_por_tipo_proceso,6.3.2.1,625;626;627,CONTRA LA ACCIÓN PENAL PÙBLICA,ACCIÓN PENAL PÙBLICA,concatenacion_confirmada,accion_penal,encabezado_padre_adherido,ACCIÓN PENAL PÙBLICA,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 625;626;627, cuadro(s) 6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",9 apariciones fuente. Caso pendiente comprobado directamente en 3.2b. La fila es una acción penal y no debe tratarse como tipo de proceso genérico.,9,paso_3_2b
F028,causas_por_tipo_proceso,5.3.2.1,362;363;364,CONTRA LA VIOLENCIA HACIA LA ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,concatenacion_confirmada,accion_penal,encabezado_padre_adherido,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 362;363;364, cuadro(s) 5.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",10 apariciones fuente. Caso pendiente comprobado directamente en 3.2b. La fila es una acción penal y no debe tratarse como tipo de proceso genérico.,10,paso_3_2b
F029,causas_por_tipo_proceso,5.1.2.1;6.1.2.1,177;179;180;182;183;184;185;187;449;450;452;453;454;455;456;457;458,DE CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,fragmento_confirmado,proceso,texto_vertical_adherido,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 177;179;180;182;183;184;185;187;449;450;452;453;454;455;456;457;458, cuadro(s) 5.1.2.1;6.1.2.1: la fila fuente es «CONSTITUCIÓN DEL PATRIMONIO FAMILIAR»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",17 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,17,paso_3_1c
F030,causas_por_tipo_proceso,5.2.1.1,303;308,DEMANDA DE ADQUIRIDOS BENEFICIOS SOCIALES Y DERECHOS,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS,reordenamiento_confirmado,proceso,orden_de_bloques_pdf_intercalado,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS,corregir_extraccion,correccion_acotada_por_fila_contexto,confirmado,alta,"PDF pp. 303;308, cuadro(s) 5.2.1.1: la fila fuente es «DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",2 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,2,paso_3_2b
F031,causas_por_tipo_proceso,6.1.1.1,399;400;401;402;403;404;405;406;407,EJECUCIÓN COACTIVA DE SUMAS DE DINERO DE,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,fragmento_confirmado,proceso,texto_vertical_adherido,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 399;400;401;402;403;404;405;406;407, cuadro(s) 6.1.1.1: la fila fuente es «EJECUCIÓN COACTIVA DE SUMAS DE DINERO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",9 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,9,paso_3_1c
F032,causas_por_tipo_proceso,6.1.1.1,408,EJECUCIÓN COACTIVA DE SUMAS DE DINERO S DE N,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,fragmento_confirmado,proceso,texto_vertical_adherido,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 408, cuadro(s) 6.1.1.1: la fila fuente es «EJECUCIÓN COACTIVA DE SUMAS DE DINERO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",1 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,1,paso_3_1c
F033,causas_por_tipo_proceso,6.1.1.1,405,IO ORDINARIO,ORDINARIO,fragmento_confirmado,proceso,texto_vertical_adherido,ORDINARIO,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 405, cuadro(s) 6.1.1.1: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",1 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,1,paso_3_2b
F034,causas_por_tipo_proceso,6.3.2.1,625;626;627,LAS MUJERES ACCIÓN PENAL PRIVADA,ACCIÓN PENAL PRIVADA,concatenacion_confirmada,accion_penal,encabezado_padre_adherido,ACCIÓN PENAL PRIVADA,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 625;626;627, cuadro(s) 6.3.2.1: la fila fuente es «ACCIÓN PENAL PRIVADA»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",10 apariciones fuente. Caso pendiente comprobado directamente en 3.2b. La fila es una acción penal y no debe tratarse como tipo de proceso genérico.,10,paso_3_2b
F035,causas_por_tipo_proceso,5.1.1.1;6.1.1.1,131;408,O ORDINARIO,ORDINARIO,fragmento_confirmado,proceso,texto_vertical_adherido,ORDINARIO,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 131;408, cuadro(s) 5.1.1.1;6.1.1.1: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",2 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,2,paso_3_1c
F036,causas_por_tipo_proceso,6.1.1.1,399;401;403;404,"PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS","INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",fragmento_confirmado,proceso,inicio_multilinea_asignado_a_fila_anterior,"INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",corregir_extraccion,correccion_acotada_por_fila_contexto,confirmado,alta,"PDF pp. 399;401;403;404, cuadro(s) 6.1.1.1: la fila fuente es «INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",4 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,4,paso_3_1c
F037,causas_por_tipo_proceso,5.3.2.1;6.3.2.1,362;363;364;627,PENAL COMUN ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,concatenacion_confirmada,accion_penal,encabezado_padre_adherido,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 362;363;364;627, cuadro(s) 5.3.2.1;6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",5 apariciones fuente. Caso pendiente comprobado directamente en 3.2b. La fila es una acción penal y no debe tratarse como tipo de proceso genérico.,5,paso_3_2b
F038,causas_por_tipo_proceso,5.3.2.1,364,PENAL PÙBLICA A INSTANCIA DE PARTE CONTRA LA VIOLENCIA HACIA LA ACCIÓN,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,concatenacion_confirmada,accion_penal,encabezado_padre_adherido,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 364, cuadro(s) 5.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",1 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada. La fila es una acción penal y no debe tratarse como tipo de proceso genérico.,1,paso_3_1c
F039,causas_por_tipo_proceso,5.1.1.1,122;124;125;127;129;130,"REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS","INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",fragmento_confirmado,proceso,inicio_multilinea_asignado_a_fila_anterior,"INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",corregir_extraccion,correccion_acotada_por_fila_contexto,confirmado,alta,"PDF pp. 122;124;125;127;129;130, cuadro(s) 5.1.1.1: la fila fuente es «INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",6 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,6,paso_3_1c
F040,causas_por_tipo_proceso,6.1.1.1,399;401;403;404,"TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE",TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO,concatenacion_confirmada,proceso,inicio_fila_siguiente_adherido,TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO,corregir_extraccion,correccion_acotada_por_fila_contexto,confirmado,alta,"PDF pp. 399;401;403;404, cuadro(s) 6.1.1.1: la fila fuente es «TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",4 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,4,paso_3_1c
