cuadro_origen,paginas,departamento,columna,fragmentos_originales,rotulo_canonico,codigo_canonico,tipo_columna,decision,confianza,evidencia,observaciones
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_11,TOTAL,Total,total,total,confirmado,alta,"Cuadro 4.1.1, p. 109; última columna rotulada TOTAL; suma horizontal de las diez ciudades.",Total horizontal por categoría de órgano o recurso; suma las diez ciudades.
4.1.2,110,CHUQUISACA,col_01,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,confirmado,alta,"Cuadro 4.1.2, p. 110; primera columna rotulada POBLACIÓN PROYECTADA AL 2022; se excluye de la suma de órganos.",No representa un número de juzgados y se excluye de la suma del total.
4.1.2,110,CHUQUISACA,col_02,NÚMERO JUZGADO DE INSTRUCCIÓ PENAL,Juzgado de Instrucción Penal,juzgado_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.2, p. 110; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_02.",
4.1.2,110,CHUQUISACA,col_03,DE JUZGADO PÚBLICO CIVIL COMERCIAL,Juzgado Público Civil y Comercial,juzgado_publico_civil_comercial,organo_judicial,confirmado,alta,"Cuadro 4.1.2, p. 110; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_03.",
4.1.2,110,CHUQUISACA,col_04,"JUZGADOS, JUZGADO PÚBLICO MIXTO",Juzgado Público Mixto,juzgado_publico_mixto,organo_judicial,confirmado,alta,"Cuadro 4.1.2, p. 110; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_04.",
4.1.2,110,CHUQUISACA,col_05,TRIBUNALES JUZGADO PÚBLICO MIXTO INSTRUCCIÓ PENAL,Juzgado Público Mixto e Instrucción Penal,juzgado_publico_mixto_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.2, p. 110; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_05.",
4.1.2,110,CHUQUISACA,col_06,Y TIPOS JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCIÓ PENAL,"Juzgado Público Mixto, Partido e Instrucción Penal",juzgado_publico_mixto_partido_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.2, p. 110; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_06.",
4.1.2,110,CHUQUISACA,col_07,CONCILIADORES JUZGADOS JUZGADO PÚBLICO MIXTO PARTIDO DE SENTENCIA PENAL,"Juzgado Público Mixto, Partido y de Sentencia Penal",juzgado_publico_mixto_partido_sentencia_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.2, p. 110; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_07.",
4.1.2,110,CHUQUISACA,col_08,"JUZGADO SENTENCIA, PUBLICO TRABAJO","Juzgado Sentencia, Público y Trabajo",juzgado_sentencia_publico_trabajo,organo_judicial,confirmado,alta,"Cuadro 4.1.2, p. 110; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_08.",
4.1.2,110,CHUQUISACA,col_09,PROVINCIAS TRIBUNAL DE SENTENCIA (Nominal),Tribunal de Sentencia (Nominal),tribunal_sentencia_nominal,organo_judicial,confirmado,alta,"Cuadro 4.1.2, p. 110; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_09.",
4.1.2,110,CHUQUISACA,col_10,EJECUCION PENAL,Ejecución Penal,ejecucion_penal,organo_judicial,confirmado_variacion_editorial,alta,"Cuadro 4.1.2, p. 110; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_10.",El rótulo de esta página omite la tilde; otras páginas del capítulo usan «EJECUCIÓN PENAL».
4.1.2,110,CHUQUISACA,col_11,CONCILIAD OR,Conciliador,conciliador,conciliador,confirmado,alta,"Cuadro 4.1.2, p. 110; encabezado CONCILIADOR visible; posición y totales confirman la columna.","Categoría separada: el Anuario la cuenta en el total, pero corresponde a recurso humano."
4.1.2,110,CHUQUISACA,col_12,JUZGADO AGROAMBIE NTAL,Juzgado Agroambiental,juzgado_agroambiental,organo_judicial,confirmado,alta,"Cuadro 4.1.2, p. 110; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_12.",
4.1.2,110,CHUQUISACA,col_13,TOTALES 62,Total,total,total,confirmado,alta,"Cuadro 4.1.2, p. 110; última columna rotulada TOTALES; reproduce la suma publicada de categorías, sin población.",Suma las categorías publicadas de órgano y conciliador; no incluye la población.
4.1.3,111,LA PAZ,col_01,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,confirmado,alta,"Cuadro 4.1.3, p. 111; primera columna rotulada POBLACIÓN PROYECTADA AL 2022; se excluye de la suma de órganos.",No representa un número de juzgados y se excluye de la suma del total.
4.1.3,111,LA PAZ,col_02,NÚMERO JUZGADO INSTRUCCIÓN PENAL,Juzgado de Instrucción Penal,juzgado_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.3, p. 111; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_02.",
4.1.3,111,LA PAZ,col_03,DE CONCILIADORES JUZGADO PÚBLICO MIXTO,Juzgado Público Mixto,juzgado_publico_mixto,organo_judicial,confirmado,alta,"Cuadro 4.1.3, p. 111; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_03.",
4.1.3,111,LA PAZ,col_04,"JUZGADOS, JUZGADO PÚBLICO MIXTO INSTRUCCIÓN PENAL",Juzgado Público Mixto e Instrucción Penal,juzgado_publico_mixto_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.3, p. 111; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_04.",
4.1.3,111,LA PAZ,col_05,TRIBUNALES JUZGADO PÚBLICO PARTIDO INSTRUCCIÓN PENAL,"Juzgado Público Mixto, Partido e Instrucción Penal",juzgado_publico_mixto_partido_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.3, p. 111; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_05.",
4.1.3,111,LA PAZ,col_06,CONCILIADORES TIPO DE JUZGADO PÚBLICO MIXTO PARTIDO SENTENCIA PENAL,"Juzgado Público Mixto, Partido y de Sentencia Penal",juzgado_publico_mixto_partido_sentencia_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.3, p. 111; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_06.",
4.1.3,111,LA PAZ,col_07,"JUZGADO JUZGADO SENTENCIA, PUBLICO, TRABAJO TÉCNICO","Juzgado Sentencia, Público, Trabajo y Juez Técnico",juzgado_sentencia_publico_trabajo_juez_tecnico,organo_judicial,confirmado,alta,"Cuadro 4.1.3, p. 111; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_07.",
4.1.3,111,LA PAZ,col_08,PROVINCIAS TRIBUNAL DE SENTENCIA,Tribunal de Sentencia,tribunal_sentencia,organo_judicial,confirmado,alta,"Cuadro 4.1.3, p. 111; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_08.",
4.1.3,111,LA PAZ,col_09,TRIBUNAL SENTENCIA AMPLIACION COMPETENCIAS,Tribunal de Sentencia con Ampliación de Competencias,tribunal_sentencia_ampliacion_competencias,organo_judicial,confirmado,alta,"Cuadro 4.1.3, p. 111; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_09.",
4.1.3,111,LA PAZ,col_10,CONCILIADO R,Conciliador,conciliador,conciliador,confirmado,alta,"Cuadro 4.1.3, p. 111; encabezado CONCILIADOR visible; posición y totales confirman la columna.","Categoría separada: el Anuario la cuenta en el total, pero corresponde a recurso humano."
4.1.3,111,LA PAZ,col_11,JUZGADO AGROAMBIEN TAL,Juzgado Agroambiental,juzgado_agroambiental,organo_judicial,confirmado,alta,"Cuadro 4.1.3, p. 111; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_11.",
4.1.3,111,LA PAZ,col_12,TOTA LES,Total,total,total,confirmado,alta,"Cuadro 4.1.3, p. 111; última columna rotulada TOTALES; reproduce la suma publicada de categorías, sin población.",Suma las categorías publicadas de órgano y conciliador; no incluye la población.
4.1.4,112,COCHABAMBA,col_01,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,confirmado,alta,"Cuadro 4.1.4, p. 112; primera columna rotulada POBLACIÓN PROYECTADA AL 2022; se excluye de la suma de órganos.",No representa un número de juzgados y se excluye de la suma del total.
4.1.4,112,COCHABAMBA,col_02,JUZGADO DE INSTRUCCIÓ PENAL,Juzgado de Instrucción Penal,juzgado_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_02.",
4.1.4,112,COCHABAMBA,col_03,JUZGADO PÚBLICO NIÑEZ ADOLESCE NCIA,Juzgado Público de la Niñez y Adolescencia,juzgado_publico_ninez_adolescencia,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_03.",
4.1.4,112,COCHABAMBA,col_04,COCHABAMBA: CONCILIADORES JUZGADO PÚBLICO FAMILIA,Juzgado Público de Familia,juzgado_publico_familia,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_04.",
4.1.4,112,COCHABAMBA,col_05,NÚMERO JUZGADO PÚBLICO CIVIL COMERCIAL,Juzgado Público Civil y Comercial,juzgado_publico_civil_comercial,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_05.",
4.1.4,112,COCHABAMBA,col_06,JUZGADO PÚBLICO MIXTO,Juzgado Público Mixto,juzgado_publico_mixto,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_06.",
4.1.4,112,COCHABAMBA,col_07,"JUZGADOS, JUZGADO PÚBLICO MIXTO INSTRUCCIÓ PENAL",Juzgado Público Mixto e Instrucción Penal,juzgado_publico_mixto_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_07.",
4.1.4,112,COCHABAMBA,col_08,TRIBUNALES JUZGADO PÚBLICO MIXTO DE SENTENCIA PENAL,Juzgado Público Mixto y de Sentencia Penal,juzgado_publico_mixto_sentencia_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_08.",
4.1.4,112,COCHABAMBA,col_09,TIPO JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCIÓ PENAL,"Juzgado Público Mixto, Partido e Instrucción Penal",juzgado_publico_mixto_partido_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_09.",
4.1.4,112,COCHABAMBA,col_10,JUZGADO JUZGADO PÚBLICO MIXTO PARTIDO DE SENTENCIA PENAL,"Juzgado Público Mixto, Partido y de Sentencia Penal",juzgado_publico_mixto_partido_sentencia_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_10.",
4.1.4,112,COCHABAMBA,col_11,CONCILIADORES JUZGADO PARTIDO MIXTO SENTENCIA,Juzgado Partido Mixto Sentencia,juzgado_partido_mixto_sentencia,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_11.",Se conserva la redacción telegráfica visible; no se infieren conectores ausentes.
4.1.4,112,COCHABAMBA,col_12,EN JUZGADO PARTIDO DEL TRABAJO SEGURIDAD SOCIAL,Juzgado de Partido del Trabajo y Seguridad Social,juzgado_partido_trabajo_seguridad_social,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_12.",
4.1.4,112,COCHABAMBA,col_13,PROVINCIAS JUZGADO SENTENCIA,Juzgado de Sentencia,juzgado_sentencia,organo_judicial,confirmado_variacion_editorial,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_13.",El rótulo omite «de»; se equipara con «JUZGADO DE SENTENCIA» de los cuadros 4.1.8 y 4.1.9.
4.1.4,112,COCHABAMBA,col_14,"JUZGADO SENTENCI A, PUBLICO, TRABAJO JUEZ TÉCNICO","Juzgado Sentencia, Público, Trabajo y Juez Técnico",juzgado_sentencia_publico_trabajo_juez_tecnico,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_14.",
4.1.4,112,COCHABAMBA,col_15,TRIBUNAL DE SENTENCIA CON AMPLIACIO DE COMPETEN CIAS,Tribunal de Sentencia con Ampliación de Competencias,tribunal_sentencia_ampliacion_competencias,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_15.",
4.1.4,112,COCHABAMBA,col_16,TRIBUNAL DE SENTENCIA,Tribunal de Sentencia,tribunal_sentencia,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_16.",
4.1.4,112,COCHABAMBA,col_17,CONCILI ADOR,Conciliador,conciliador,conciliador,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado CONCILIADOR visible; posición y totales confirman la columna.","Categoría separada: el Anuario la cuenta en el total, pero corresponde a recurso humano."
4.1.4,112,COCHABAMBA,col_18,JUZGAD O AGROA MBIENT AL,Juzgado Agroambiental,juzgado_agroambiental,organo_judicial,confirmado,alta,"Cuadro 4.1.4, p. 112; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_18.",
4.1.4,112,COCHABAMBA,col_19,TOTALES,Total,total,total,confirmado,alta,"Cuadro 4.1.4, p. 112; última columna rotulada TOTALES; reproduce la suma publicada de categorías, sin población.",Suma las categorías publicadas de órgano y conciliador; no incluye la población.
4.1.5,113,ORURO,col_01,NÚMERO DE CONCILIADORES POBLACIÓN PROYECTADA AL 2022,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,confirmado,alta,"Cuadro 4.1.5, p. 113; primera columna rotulada POBLACIÓN PROYECTADA AL 2022; se excluye de la suma de órganos.",No representa un número de juzgados y se excluye de la suma del total.
4.1.5,113,ORURO,col_02,"JUZGADOS, JUZGADO PÚBLICO MIXTO INSTRUCCIÓN PENAL",Juzgado Público Mixto e Instrucción Penal,juzgado_publico_mixto_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.5, p. 113; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_02.",
4.1.5,113,ORURO,col_03,TRIBUNALES JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCIÓN PENAL,"Juzgado Público Mixto, Partido e Instrucción Penal",juzgado_publico_mixto_partido_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.5, p. 113; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_03.",
4.1.5,113,ORURO,col_04,JUZGADO PÚBLICO MIXTO PARTIDO SENTENCIA PENAL,"Juzgado Público Mixto, Partido y de Sentencia Penal",juzgado_publico_mixto_partido_sentencia_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.5, p. 113; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_04.",
4.1.5,113,ORURO,col_05,"CONCILIADORES JUZGADOS JUZGADO SENTENCIA, PUBLICO TRABAJO","Juzgado Sentencia, Público y Trabajo",juzgado_sentencia_publico_trabajo,organo_judicial,confirmado,alta,"Cuadro 4.1.5, p. 113; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_05.",
4.1.5,113,ORURO,col_06,PROVINCIAS TRIBUNAL SENTENCIA (Nominal),Tribunal de Sentencia (Nominal),tribunal_sentencia_nominal,organo_judicial,confirmado,alta,"Cuadro 4.1.5, p. 113; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_06.",
4.1.5,113,ORURO,col_07,CONCILIADOR,Conciliador,conciliador,conciliador,confirmado,alta,"Cuadro 4.1.5, p. 113; encabezado CONCILIADOR visible; posición y totales confirman la columna.","Categoría separada: el Anuario la cuenta en el total, pero corresponde a recurso humano."
4.1.5,113,ORURO,col_08,JUZGADO AGROAMBIEN TAL,Juzgado Agroambiental,juzgado_agroambiental,organo_judicial,confirmado,alta,"Cuadro 4.1.5, p. 113; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_08.",
4.1.5,113,ORURO,col_09,TOTALES,Total,total,total,confirmado,alta,"Cuadro 4.1.5, p. 113; última columna rotulada TOTALES; reproduce la suma publicada de categorías, sin población.",Suma las categorías publicadas de órgano y conciliador; no incluye la población.
4.1.6,114,POTOSI,col_01,POTOSI: TRIBUNALES Y POBLACIÓN PROYECTAD A 2022,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,confirmado,alta,"Cuadro 4.1.6, p. 114; primera columna rotulada POBLACIÓN PROYECTADA AL 2022; se excluye de la suma de órganos.",No representa un número de juzgados y se excluye de la suma del total.
4.1.6,114,POTOSI,col_02,NÚMERO CONCILIADORES JUZGADO INSTRUCCIÓN PENAL,Juzgado de Instrucción Penal,juzgado_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.6, p. 114; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_02.",
4.1.6,114,POTOSI,col_03,DE JUZGADO PÚBLICO FAMILIA,Juzgado Público de Familia,juzgado_publico_familia,organo_judicial,confirmado,alta,"Cuadro 4.1.6, p. 114; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_03.",
4.1.6,114,POTOSI,col_04,"JUZGADOS, JUZGADO PÚBLICO COMERCIAL",Juzgado Público Civil y Comercial,juzgado_publico_civil_comercial,organo_judicial,confirmado,alta,"Cuadro 4.1.6, p. 114; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_04.","El PDF confirma «CIVIL Y COMERCIAL», aunque el fragmento bbox quedó incompleto."
4.1.6,114,POTOSI,col_05,TRIBUNALES JUZGADO PÚBLICO MIXTO INSTRUCCIÓN PENAL,Juzgado Público Mixto e Instrucción Penal,juzgado_publico_mixto_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.6, p. 114; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_05.",
4.1.6,114,POTOSI,col_06,CONCILIADORES TIPO DE JUZGADO PÚBLICO MIXTO SENTENCIA PENAL,Juzgado Público Mixto y de Sentencia Penal,juzgado_publico_mixto_sentencia_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.6, p. 114; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_06.",
4.1.6,114,POTOSI,col_07,JUZGADO JUZGADO PÚBLICO MIXTO PARTIDO SENTENCIA PENAL,"Juzgado Público Mixto, Partido y de Sentencia Penal",juzgado_publico_mixto_partido_sentencia_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.6, p. 114; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_07.",
4.1.6,114,POTOSI,col_08,"PROVINCIAS JUZGADO SENTENCIA, PUBLICO, TRABAJO TÉCNICO","Juzgado Sentencia, Público, Trabajo y Juez Técnico",juzgado_sentencia_publico_trabajo_juez_tecnico,organo_judicial,confirmado,alta,"Cuadro 4.1.6, p. 114; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_08.",
4.1.6,114,POTOSI,col_09,TRIBUNAL SENTENCIA (Nominal),Tribunal de Sentencia (Nominal),tribunal_sentencia_nominal,organo_judicial,confirmado,alta,"Cuadro 4.1.6, p. 114; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_09.",
4.1.6,114,POTOSI,col_10,CONCILI ADOR,Conciliador,conciliador,conciliador,confirmado,alta,"Cuadro 4.1.6, p. 114; encabezado CONCILIADOR visible; posición y totales confirman la columna.","Categoría separada: el Anuario la cuenta en el total, pero corresponde a recurso humano."
4.1.6,114,POTOSI,col_11,JUZGADO AGROAMBIEN TAL,Juzgado Agroambiental,juzgado_agroambiental,organo_judicial,confirmado,alta,"Cuadro 4.1.6, p. 114; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_11.",
4.1.6,114,POTOSI,col_12,TOTALES,Total,total,total,confirmado,alta,"Cuadro 4.1.6, p. 114; última columna rotulada TOTALES; reproduce la suma publicada de categorías, sin población.",Suma las categorías publicadas de órgano y conciliador; no incluye la población.
4.1.7,115,TARIJA,col_01,"JUZGADOS, TRIBUNALES Tribunal POBLACIÓ N PROYECTA DA 2022",Población proyectada al 2022,poblacion_proyectada_2022,poblacion,confirmado,alta,"Cuadro 4.1.7, p. 115; primera columna rotulada POBLACIÓN PROYECTADA AL 2022; se excluye de la suma de órganos.",No representa un número de juzgados y se excluye de la suma del total.
4.1.7,115,TARIJA,col_02,JUZGADO DE INSTRUCCI PENAL,Juzgado de Instrucción Penal,juzgado_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_02.",
4.1.7,115,TARIJA,col_03,TARIJA: JUZGADO PÚBLICO FAMILIA,Juzgado Público de Familia,juzgado_publico_familia,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_03.",
4.1.7,115,TARIJA,col_04,NÚMERO CONCILIADORES JUZGADO PÚBLICO CIVIL COMERCIA L,Juzgado Público Civil y Comercial,juzgado_publico_civil_comercial,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_04.",
4.1.7,115,TARIJA,col_05,"JUZGADOS, JUZGADO PÚBLICO MIXTO",Juzgado Público Mixto,juzgado_publico_mixto,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_05.",
4.1.7,115,TARIJA,col_06,JUZGADO PÚBLICO MIXTO INSTRUCCI PENAL,Juzgado Público Mixto e Instrucción Penal,juzgado_publico_mixto_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_06.",
4.1.7,115,TARIJA,col_07,TRIBUNALES JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCI PENAL,"Juzgado Público Mixto, Partido e Instrucción Penal",juzgado_publico_mixto_partido_instruccion_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_07.",
4.1.7,115,TARIJA,col_08,CONCILIADORES DE JUZGADO PÚBLICO MIXTO PARTIDO DE SENTENCIA PENAL,"Juzgado Público Mixto, Partido y de Sentencia Penal",juzgado_publico_mixto_partido_sentencia_penal,organo_judicial,confirmado,alta,"Cuadro 4.1.7, p. 115; encabezado visible en TIPO(S) DE JUZGADO(S); fragmentos bbox, posición y total confirman col_08.",
