tabla,cuadro_origen,pagina_pdf,literal_actual,literal_pdf,clasificacion,causa,forma_propuesta,decision,confianza,evidencia_pdf,accion_futura_recomendada,observaciones
causas_por_tipo_proceso,6.1.1.1,399,EJECUCIÓN COACTIVA DE SUMAS DE DINERO DE,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,fragmento_confirmado,texto_vertical_adherido,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,correccion_extraccion_recomendada,alta,PDF p. 399: DE pertenece al rótulo vertical PROCESOS DE EJECUCIÓN.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,6.1.1.1,408,CONCURSALES SAL ES,CONCURSALES,fragmento_confirmado,texto_vertical_adherido,CONCURSALES,correccion_extraccion_recomendada,alta,PDF p. 408: SAL/ES pertenece al rótulo vertical del grupo.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,6.1.1.1,408,EJECUCIÓN COACTIVA DE SUMAS DE DINERO S DE N,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,fragmento_confirmado,texto_vertical_adherido,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,correccion_extraccion_recomendada,alta,PDF p. 408: S/DE/N son fragmentos del rótulo vertical PROCESOS DE EJECUCIÓN.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,6.1.1.1,408,O ORDINARIO,ORDINARIO,fragmento_confirmado,texto_vertical_adherido,ORDINARIO,correccion_extraccion_recomendada,alta,PDF p. 408: la fila dice ORDINARIO; la O separada pertenece al rótulo vertical.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,5.1.2.1,177,DE CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,fragmento_confirmado,texto_vertical_adherido,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,correccion_extraccion_recomendada,alta,PDF p. 177: DE pertenece al grupo vertical PROCESOS DE RESOLUCIÓN INMEDIATA.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,5.1.2.1,178,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR DE,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,fragmento_confirmado,texto_vertical_adherido,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,correccion_extraccion_recomendada,alta,"PDF p. 178: DE pertenece al grupo vertical, no al final del proceso.",Corregir en extracción preservando literal PDF y trazabilidad.,
apelaciones_por_tipo_proceso,5.1.2.3,201,DESACUERDO DE LOS PADRES DE,DESACUERDO DE LOS PADRES,fragmento_confirmado,texto_vertical_adherido,DESACUERDO DE LOS PADRES,correccion_extraccion_recomendada,alta,PDF p. 201: DE es parte del rótulo vertical DE RESOLUCIÓN INMEDIATA.,Corregir en extracción preservando literal PDF y trazabilidad.,
apelaciones_por_tipo_proceso,6.1.1.3,419,CONCURSALES CON SAL ES,CONCURSALES,fragmento_confirmado,texto_vertical_adherido,CONCURSALES,correccion_extraccion_recomendada,alta,PDF p. 419: CON/CUR/SAL/ES pertenece al rótulo vertical del grupo.,Corregir en extracción preservando literal PDF y trazabilidad.,
apelaciones_por_tipo_proceso,6.1.1.3,419,EJECUCIÓN COACTIVA DE SUMAS DE DINERO CUR DE IÓN,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,fragmento_confirmado,texto_vertical_adherido,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,correccion_extraccion_recomendada,alta,PDF p. 419: CUR/DE/IÓN son fragmentos de rótulos verticales adyacentes.,Corregir en extracción preservando literal PDF y trazabilidad.,
apelaciones_por_tipo_proceso,6.1.1.3,419,REGULARIZACIÓN DE DERECHO PROPIETARIO INMUEBLES URBANOS DESTINADOS A LA VIVIENDA SOBRE BIENES,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,fragmento_confirmado,orden_de_bloques_pdf_intercalado,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,correccion_extraccion_recomendada,alta,PDF p. 419: el PDF conserva SOBRE BIENES antes de INMUEBLES; el orden alterado es del extractor.,Corregir en extracción preservando literal PDF y trazabilidad.,
apelaciones_por_tipo_proceso,6.1.1.4,437,OTROS VOLUNATRIOS,OTROS VOLUNATRIOS,variacion_editorial,errata_en_pdf,OTROS VOLUNTARIOS,equivalente_variacion_editorial,alta,PDF p. 437: el propio cuadro imprime OTROS VOLUNATRIOS.,Conservar literal; decidir por auditoría antes de homologar.,
causas_por_tipo_proceso,5.3.1.1,348,PENAL COMUN,PENAL COMUN,variacion_editorial,tilde_omitida_en_pdf,PENAL COMÚN,equivalente_variacion_editorial,alta,PDF p. 348: el propio cuadro imprime PENAL COMUN sin tilde.,Conservar literal; decidir por auditoría antes de homologar.,
causas_por_tipo_proceso,5.3.2.1,362,ACCIÓN PENAL PÙBLICA,ACCIÓN PENAL PÙBLICA,variacion_editorial,acento_grave_en_pdf,ACCIÓN PENAL PÚBLICA,equivalente_variacion_editorial,alta,PDF p. 362: la capa textual y la tabla imprimen PÙBLICA con acento grave.,Conservar literal; decidir por auditoría antes de homologar.,
resueltas_por_tipo_proceso,6.1.3.3,516,RENUNCIA DE LA AUTORIDAD POR CONSENTIMIENTO PARA LA ADOPCION (ADOPCION NACIONAL E INTERNACIONAL),RENUNCIA DE LA AUTORIDAD POR CONSENTIMIENTO PARA LA ADOPCION (ADOPCION NACIONAL E INTERNACIONAL),variacion_editorial,aclaracion_presente_en_pdf,RENUNCIA DE LA AUTORIDAD POR CONSENTIMIENTO PARA LA ADOPCION,equivalente_variacion_editorial,alta,PDF p. 516: la aclaración parentética aparece impresa en una segunda línea.,Conservar literal; decidir por auditoría antes de homologar.,
resueltas_por_tipo_proceso,6.1.3.3,517,RENUNCIA DE LA AUTORIDAD POR CONSENTIMIENTO PARA LA ADOPCION,RENUNCIA DE LA AUTORIDAD POR CONSENTIMIENTO PARA LA ADOPCION,variacion_editorial,aclaracion_omitida_en_pdf,RENUNCIA DE LA AUTORIDAD POR CONSENTIMIENTO PARA LA ADOPCION,equivalente_variacion_editorial,alta,PDF p. 517: el mismo cuadro omite la aclaración parentética desde LA PAZ.,Conservar literal; decidir por auditoría antes de homologar.,
apelaciones_por_tipo_proceso,5.1.3.9,301,SUCRE,SUCRE,rotulo_valido,encabezado_territorial,SUCRE,confirmado_no_proceso,alta,PDF p. 301: SUCRE encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,5.1.3.9,301,LA PAZ,LA PAZ,rotulo_valido,encabezado_territorial,LA PAZ,confirmado_no_proceso,alta,PDF p. 301: LA PAZ encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,5.1.3.9,301,EL ALTO,EL ALTO,rotulo_valido,encabezado_territorial,EL ALTO,confirmado_no_proceso,alta,PDF p. 301: EL ALTO encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,5.1.3.9,301,COCHABAMBA,COCHABAMBA,rotulo_valido,encabezado_territorial,COCHABAMBA,confirmado_no_proceso,alta,PDF p. 301: COCHABAMBA encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,5.1.3.9,301,ORURO,ORURO,rotulo_valido,encabezado_territorial,ORURO,confirmado_no_proceso,alta,PDF p. 301: ORURO encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,5.1.3.9,302,POTOSÍ,POTOSÍ,rotulo_valido,encabezado_territorial,POTOSÍ,confirmado_no_proceso,alta,PDF p. 302: POTOSÍ encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,5.1.3.9,302,TARIJA,TARIJA,rotulo_valido,encabezado_territorial,TARIJA,confirmado_no_proceso,alta,PDF p. 302: TARIJA encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,5.1.3.9,302,SANTA CRUZ,SANTA CRUZ,rotulo_valido,encabezado_territorial,SANTA CRUZ,confirmado_no_proceso,alta,PDF p. 302: SANTA CRUZ encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,5.1.3.9,302,TRINIDAD,TRINIDAD,rotulo_valido,encabezado_territorial,TRINIDAD,confirmado_no_proceso,alta,PDF p. 302: TRINIDAD encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,5.1.3.9,302,COBIJA,COBIJA,rotulo_valido,encabezado_territorial,COBIJA,confirmado_no_proceso,alta,PDF p. 302: COBIJA encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,6.3.1.6,622,CHUQUISACA,CHUQUISACA,rotulo_valido,encabezado_territorial,CHUQUISACA,confirmado_no_proceso,alta,PDF p. 622: CHUQUISACA encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,6.3.1.6,624,BENI,BENI,rotulo_valido,encabezado_territorial,BENI,confirmado_no_proceso,alta,PDF p. 624: BENI encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
apelaciones_por_tipo_proceso,6.3.1.6,624,PANDO,PANDO,rotulo_valido,encabezado_territorial,PANDO,confirmado_no_proceso,alta,PDF p. 624: PANDO encabeza un bloque territorial y contiene el número de juzgados/tribunales.,Conservar literal; decidir por auditoría antes de homologar.,Conservar como entidad territorial; no incorporar a dim_tipo_proceso.
