grupo_sugerido,grupo_auditoria,materia_variante,cuadros,paginas,materia_canonica_propuesta,decision,confianza,evidencia,observaciones
"","partido_administrativo","Partido Administrativo, Coactivo Fiscal","9.1.10 9.1.2","677 705","Partido Administrativo Coactivo Fiscal y Tributario","equivalente_variacion_editorial","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677 y 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023 = 2.671; ausente en ambos cuadros provinciales.","La tabla histórica abrevia el rótulo y omite 'y Tributario'; la coincidencia estructural y numérica es exacta."
"","partido_trabajo","Partido Trabajo y Seguridad Social","9.1.10 9.1.2 9.1.6","677 691 705","Partido de Trabajo y Seguridad Social","equivalente_variacion_editorial","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 20.797, 2.644 y 23.441.","La tabla histórica omite la preposición 'de'."
"PUBLICOCIVILYCOMERCIAL","publico_civil_comercial","PÚBLICO CIVIL Y COMERCIAL","9.1.1 9.1.5 9.1.9","673 687 701","Público Civil y Comercial","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 67.788, 26.981 y 94.769.","Solo cambia la capitalización."
"PUBLICODEFAMILIA","publico_familia","PÚBLICO DE FAMILIA","9.1.1 9.1.5 9.1.9","673 687 701","Público de Familia","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 52.523, 26.687 y 79.210.","Solo cambia la capitalización."
"PUBLICONINEZYADOLESCENCIA","publico_ninez_adolescencia","PÚBLICO NIÑEZ Y ADOLESCENCIA","9.1.1 9.1.5 9.1.9","673 687 701","Público Niñez y Adolescencia","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 8.368, 3.344 y 11.712.","Solo cambia la capitalización."
"PUBLICOCIVILYCOMERCIAL","publico_civil_comercial","Público Civil y Comercial","9.1.10 9.1.2 9.1.6","677 691 705","Público Civil y Comercial","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 67.788, 26.981 y 94.769.","Solo cambia la capitalización."
"PUBLICONINEZYADOLESCENCIA","publico_ninez_adolescencia","Público Niñez y Adolescencia","9.1.10 9.1.2 9.1.6","677 691 705","Público Niñez y Adolescencia","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 8.368, 3.344 y 11.712.","Solo cambia la capitalización."
"PUBLICODEFAMILIA","publico_familia","Público de Familia","9.1.10 9.1.2 9.1.6","677 691 705","Público de Familia","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 52.523, 26.687 y 79.210.","Solo cambia la capitalización."
"SENTENCIAANTICORRUPCION","sentencia_anticorrupcion","SENTENCIA ANTICORRUPCIÓN","9.1.1 9.1.5 9.1.9","673 687 701","","indeterminada","baja","p. 673: violencia 4.347 y anticorrupción 370; p. 677: Sentencia Anticorrupción 4.347 y Sentencia Violencia… 370. Provincias p. 687/691 sí alinean 1.258 y 56; p. 701/705 vuelven a invertir 5.605 y 426.","El rótulo es semánticamente claro, pero la variante histórica representa series distintas según el ámbito; no admite mapeo global seguro."
"","sentencia_violencia","SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER","9.1.1 9.1.5 9.1.9","673 687 701","","indeterminada","baja","p. 673: violencia 4.347 y anticorrupción 370; p. 677: Sentencia Anticorrupción 4.347 y Sentencia Violencia… 370. Provincias p. 687/691 sí alinean 1.258 y 56; p. 701/705 vuelven a invertir 5.605 y 426.","No debe colapsarse con anticorrupción ni homologarse globalmente hasta resolver la inversión editorial de la fuente."
"SENTENCIAPENAL","sentencia_penal","SENTENCIA PENAL","9.1.1 9.1.5 9.1.9","673 687 701","Sentencia Penal","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 12.737, 3.720 y 16.457.","Solo cambia la capitalización."
"SENTENCIAANTICORRUPCION","sentencia_anticorrupcion","Sentencia Anticorrupción","9.1.10 9.1.2 9.1.6","677 691 705","","indeterminada","baja","p. 673: violencia 4.347 y anticorrupción 370; p. 677: Sentencia Anticorrupción 4.347 y Sentencia Violencia… 370. Provincias p. 687/691 sí alinean 1.258 y 56; p. 701/705 vuelven a invertir 5.605 y 426.","En 9.1.2 y 9.1.10 carga la serie de violencia; en 9.1.6 carga la serie de anticorrupción."
"SENTENCIAPENAL","sentencia_penal","Sentencia Penal","9.1.10 9.1.2 9.1.6","677 691 705","Sentencia Penal","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 12.737, 3.720 y 16.457.","Solo cambia la capitalización."
"","sentencia_violencia","Sentencia Violencia C M.","9.1.10","705","","indeterminada","baja","p. 701: violencia 5.605 y anticorrupción 426; p. 705: Sentencia Anticorrupción 5.605 y Sentencia Violencia C M. 426.","Única variante presente en un solo cuadro; la abreviatura sugiere violencia, pero su cifra corresponde a anticorrupción."
"","sentencia_violencia","Sentencia Violencia Contra la Violencia hacia las Mujeres","9.1.2 9.1.6","677 691","","indeterminada","baja","p. 673/677: el rótulo lleva 370, cifra de anticorrupción; p. 687/691: lleva 1.258, cifra de violencia.","La misma variante representa series distintas en capital y provincia; además contiene la repetición editorial 'Violencia Contra la Violencia'."
"","tribunal_anticorrupcion","TRIBUNAL DE SENTENCIA ANTICORRUPCIÓN","9.1.1 9.1.5 9.1.9","673 687 701","","indeterminada","baja","p. 673: tribunal violencia 1.060 y anticorrupción 203; p. 677: Tribunales Anticorrupción 1.060 y Tribunales Violencia 203. Provincias p. 687/691 alinean 673 y 28; p. 701/705 vuelven a invertir 1.733 y 231.","La contraparte histórica cambia de serie según el ámbito; no admite mapeo global seguro."
"","tribunal_violencia","TRIBUNAL DE SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER","9.1.1 9.1.5 9.1.9","673 687 701","","indeterminada","baja","p. 673: tribunal violencia 1.060 y anticorrupción 203; p. 677: Tribunales Anticorrupción 1.060 y Tribunales Violencia 203. Provincias p. 687/691 alinean 673 y 28; p. 701/705 vuelven a invertir 1.733 y 231.","No debe colapsarse con anticorrupción ni homologarse globalmente hasta resolver la inversión editorial de la fuente."
"","tribunal_penal","TRIBUNAL DE SENTENCIA PENAL","9.1.1 9.1.5 9.1.9","673 687 701","Tribunales de Sentencia Penal","equivalente_variacion_editorial","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 1.189, 622 y 1.811.","Variación singular/plural sin cambio de función."
"","tribunal_anticorrupcion","Tribunales de Sentencia Anticorrupción","9.1.10 9.1.2 9.1.6","677 691 705","","indeterminada","baja","p. 673: tribunal violencia 1.060 y anticorrupción 203; p. 677: Tribunales Anticorrupción 1.060 y Tribunales Violencia 203. Provincias p. 687/691 alinean 673 y 28; p. 701/705 vuelven a invertir 1.733 y 231.","En 9.1.2 y 9.1.10 carga la serie de violencia; en 9.1.6 carga la serie de anticorrupción."
"","tribunal_violencia","Tribunales de Sentencia Contra la Violencia hacia las Mujeres","9.1.10 9.1.2 9.1.6","677 691 705","","indeterminada","baja","p. 673: tribunal violencia 1.060 y anticorrupción 203; p. 677: Tribunales Anticorrupción 1.060 y Tribunales Violencia 203. Provincias p. 687/691 alinean 673 y 28; p. 701/705 vuelven a invertir 1.733 y 231.","En 9.1.2 y 9.1.10 carga la serie de anticorrupción; en 9.1.6 carga la serie de violencia."
"","tribunal_penal","Tribunales de Sentencia Penal","9.1.10 9.1.2 9.1.6","677 691 705","Tribunales de Sentencia Penal","equivalente_variacion_editorial","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 1.189, 622 y 1.811.","Variación singular/plural sin cambio de función."
