regla_id,tabla,cuadro_origen,literal_actual,literal_fuente_correcto,causa,alcance_correccion,clave_contexto,decision,confianza,evidencia_pdf,observaciones
R011,apelaciones_por_tipo_proceso,6.1.1.3,EJECUCIÓN COACTIVA DE SUMAS DE DINERO CUR DE IÓN,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=6.1.1.3|paginas=419;420;421;422;423;424;425;426;427;428|literal_actual=EJECUCIÓN COACTIVA DE SUMAS DE DINERO CUR DE IÓN,confirmado,alta,"PDF pp. 419;420;421;422;423;424;425;426;427;428, cuadro(s) 6.1.1.3: la fila fuente es «EJECUCIÓN COACTIVA DE SUMAS DE DINERO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R012,apelaciones_por_tipo_proceso,6.1.1.4,EJECUCIÓN COACTIVA DE SUMAS DE DINERO DE,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=6.1.1.4|paginas=435|literal_actual=EJECUCIÓN COACTIVA DE SUMAS DE DINERO DE,confirmado,alta,"PDF pp. 435, cuadro(s) 6.1.1.4: la fila fuente es «EJECUCIÓN COACTIVA DE SUMAS DE DINERO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R013,apelaciones_por_tipo_proceso,6.1.1.4,IO ORDINARIO,ORDINARIO,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=6.1.1.4|paginas=435;437|literal_actual=IO ORDINARIO,confirmado,alta,"PDF pp. 435;437, cuadro(s) 6.1.1.4: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R014,apelaciones_por_tipo_proceso,5.1.1;5.1.1.3,O CONCURSALES,CONCURSALES,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=5.1.1;5.1.1.3|paginas=148;151;152;154;157;159;160;161;162;163;164|literal_actual=O CONCURSALES,confirmado,alta,"PDF pp. 148;151;152;154;157;159;160;161;162;163;164, cuadro(s) 5.1.1;5.1.1.3: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R015,apelaciones_por_tipo_proceso,5.1.1.3;6.1.1.3;6.1.1.4,O ORDINARIO,ORDINARIO,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=5.1.1.3;6.1.1.3;6.1.1.4|paginas=143;144;145;146;147;148;149;150;151;152;423;424;425;426;427;429;436|literal_actual=O ORDINARIO,confirmado,alta,"PDF pp. 143;144;145;146;147;148;149;150;151;152;423;424;425;426;427;429;436, cuadro(s) 5.1.1.3;6.1.1.3;6.1.1.4: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R016,apelaciones_por_tipo_proceso,5.1.1;6.1.1.4,ORDINARIO O,ORDINARIO,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=5.1.1;6.1.1.4|paginas=164;438|literal_actual=ORDINARIO O,confirmado,alta,"PDF pp. 164;438, cuadro(s) 5.1.1;6.1.1.4: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R017,apelaciones_por_tipo_proceso,6.1.1.4,RIO ORDINARIO,ORDINARIO,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=6.1.1.4|paginas=431;433;434|literal_actual=RIO ORDINARIO,confirmado,alta,"PDF pp. 431;433;434, cuadro(s) 6.1.1.4: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R018,causas_por_tipo_proceso,6.3.2.1,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE ANTICORRUPCIÒN,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,encabezado_padre_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=6.3.2.1|paginas=627|literal_actual=ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE ANTICORRUPCIÒN,confirmado,alta,"PDF pp. 627, cuadro(s) 6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Después de recuperar el literal, conservar como dimensión distinta de tipo_proceso."
R019,causas_por_tipo_proceso,5.3.2.1;6.3.2.1,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE PENAL COMUN,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,encabezado_padre_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=5.3.2.1;6.3.2.1|paginas=362;363;364;625;626;627|literal_actual=ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE PENAL COMUN,confirmado,alta,"PDF pp. 362;363;364;625;626;627, cuadro(s) 5.3.2.1;6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Después de recuperar el literal, conservar como dimensión distinta de tipo_proceso."
R020,causas_por_tipo_proceso,6.3.2.1,ACCIÓN PENAL PÙBLICA CONTRA LA,ACCIÓN PENAL PÙBLICA,encabezado_padre_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=6.3.2.1|paginas=627|literal_actual=ACCIÓN PENAL PÙBLICA CONTRA LA,confirmado,alta,"PDF pp. 627, cuadro(s) 6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Después de recuperar el literal, conservar como dimensión distinta de tipo_proceso."
R021,causas_por_tipo_proceso,5.3.2.1;6.3.2.1,ANTICORRUPCIÒN ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,encabezado_padre_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=5.3.2.1;6.3.2.1|paginas=362;363;364;625;626;627|literal_actual=ANTICORRUPCIÒN ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,confirmado,alta,"PDF pp. 362;363;364;625;626;627, cuadro(s) 5.3.2.1;6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Después de recuperar el literal, conservar como dimensión distinta de tipo_proceso."
R022,causas_por_tipo_proceso,5.2.1.1,BENEFICIOS DEMANDA DE ADQUIRIDOS SOCIALES Y DERECHOS,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS,orden_de_bloques_pdf_intercalado,correccion_acotada_por_fila_contexto,tabla=causas_por_tipo_proceso|cuadro=5.2.1.1|paginas=305|literal_actual=BENEFICIOS DEMANDA DE ADQUIRIDOS SOCIALES Y DERECHOS,confirmado,alta,"PDF pp. 305, cuadro(s) 5.2.1.1: la fila fuente es «DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R023,causas_por_tipo_proceso,5.1.1.1,CONCURSALES ESO LES,CONCURSALES,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=5.1.1.1|paginas=122|literal_actual=CONCURSALES ESO LES,confirmado,alta,"PDF pp. 122, cuadro(s) 5.1.1.1: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R024,causas_por_tipo_proceso,6.1.1.1,CONCURSALES S,CONCURSALES,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=6.1.1.1|paginas=399;400;401;402;403;404;405;406;407|literal_actual=CONCURSALES S,confirmado,alta,"PDF pp. 399;400;401;402;403;404;405;406;407, cuadro(s) 6.1.1.1: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R025,causas_por_tipo_proceso,6.1.1.1,CONCURSALES SAL ES,CONCURSALES,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=6.1.1.1|paginas=408|literal_actual=CONCURSALES SAL ES,confirmado,alta,"PDF pp. 408, cuadro(s) 6.1.1.1: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R026,causas_por_tipo_proceso,5.1.2.1;6.1.2.1,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR DE,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=5.1.2.1;6.1.2.1|paginas=178;181;186;451|literal_actual=CONSTITUCIÓN DEL PATRIMONIO FAMILIAR DE,confirmado,alta,"PDF pp. 178;181;186;451, cuadro(s) 5.1.2.1;6.1.2.1: la fila fuente es «CONSTITUCIÓN DEL PATRIMONIO FAMILIAR»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R027,causas_por_tipo_proceso,6.3.2.1,CONTRA LA ACCIÓN PENAL PÙBLICA,ACCIÓN PENAL PÙBLICA,encabezado_padre_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=6.3.2.1|paginas=625;626;627|literal_actual=CONTRA LA ACCIÓN PENAL PÙBLICA,confirmado,alta,"PDF pp. 625;626;627, cuadro(s) 6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Después de recuperar el literal, conservar como dimensión distinta de tipo_proceso."
R028,causas_por_tipo_proceso,5.3.2.1,CONTRA LA VIOLENCIA HACIA LA ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,encabezado_padre_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=5.3.2.1|paginas=362;363;364|literal_actual=CONTRA LA VIOLENCIA HACIA LA ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,confirmado,alta,"PDF pp. 362;363;364, cuadro(s) 5.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Después de recuperar el literal, conservar como dimensión distinta de tipo_proceso."
R029,causas_por_tipo_proceso,5.1.2.1;6.1.2.1,DE CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=5.1.2.1;6.1.2.1|paginas=177;179;180;182;183;184;185;187;449;450;452;453;454;455;456;457;458|literal_actual=DE CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,confirmado,alta,"PDF pp. 177;179;180;182;183;184;185;187;449;450;452;453;454;455;456;457;458, cuadro(s) 5.1.2.1;6.1.2.1: la fila fuente es «CONSTITUCIÓN DEL PATRIMONIO FAMILIAR»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R030,causas_por_tipo_proceso,5.2.1.1,DEMANDA DE ADQUIRIDOS BENEFICIOS SOCIALES Y DERECHOS,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS,orden_de_bloques_pdf_intercalado,correccion_acotada_por_fila_contexto,tabla=causas_por_tipo_proceso|cuadro=5.2.1.1|paginas=303;308|literal_actual=DEMANDA DE ADQUIRIDOS BENEFICIOS SOCIALES Y DERECHOS,confirmado,alta,"PDF pp. 303;308, cuadro(s) 5.2.1.1: la fila fuente es «DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R031,causas_por_tipo_proceso,6.1.1.1,EJECUCIÓN COACTIVA DE SUMAS DE DINERO DE,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=6.1.1.1|paginas=399;400;401;402;403;404;405;406;407|literal_actual=EJECUCIÓN COACTIVA DE SUMAS DE DINERO DE,confirmado,alta,"PDF pp. 399;400;401;402;403;404;405;406;407, cuadro(s) 6.1.1.1: la fila fuente es «EJECUCIÓN COACTIVA DE SUMAS DE DINERO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R032,causas_por_tipo_proceso,6.1.1.1,EJECUCIÓN COACTIVA DE SUMAS DE DINERO S DE N,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=6.1.1.1|paginas=408|literal_actual=EJECUCIÓN COACTIVA DE SUMAS DE DINERO S DE N,confirmado,alta,"PDF pp. 408, cuadro(s) 6.1.1.1: la fila fuente es «EJECUCIÓN COACTIVA DE SUMAS DE DINERO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R033,causas_por_tipo_proceso,6.1.1.1,IO ORDINARIO,ORDINARIO,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=6.1.1.1|paginas=405|literal_actual=IO ORDINARIO,confirmado,alta,"PDF pp. 405, cuadro(s) 6.1.1.1: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R034,causas_por_tipo_proceso,6.3.2.1,LAS MUJERES ACCIÓN PENAL PRIVADA,ACCIÓN PENAL PRIVADA,encabezado_padre_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=6.3.2.1|paginas=625;626;627|literal_actual=LAS MUJERES ACCIÓN PENAL PRIVADA,confirmado,alta,"PDF pp. 625;626;627, cuadro(s) 6.3.2.1: la fila fuente es «ACCIÓN PENAL PRIVADA»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Después de recuperar el literal, conservar como dimensión distinta de tipo_proceso."
R035,causas_por_tipo_proceso,5.1.1.1;6.1.1.1,O ORDINARIO,ORDINARIO,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=5.1.1.1;6.1.1.1|paginas=131;408|literal_actual=O ORDINARIO,confirmado,alta,"PDF pp. 131;408, cuadro(s) 5.1.1.1;6.1.1.1: la fila fuente es «ORDINARIO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R036,causas_por_tipo_proceso,6.1.1.1,"PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS","INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",inicio_multilinea_asignado_a_fila_anterior,correccion_acotada_por_fila_contexto,"tabla=causas_por_tipo_proceso|cuadro=6.1.1.1|paginas=399;401;403;404|literal_actual=PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",confirmado,alta,"PDF pp. 399;401;403;404, cuadro(s) 6.1.1.1: la fila fuente es «INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R037,causas_por_tipo_proceso,5.3.2.1;6.3.2.1,PENAL COMUN ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,encabezado_padre_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=5.3.2.1;6.3.2.1|paginas=362;363;364;627|literal_actual=PENAL COMUN ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,confirmado,alta,"PDF pp. 362;363;364;627, cuadro(s) 5.3.2.1;6.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Después de recuperar el literal, conservar como dimensión distinta de tipo_proceso."
R038,causas_por_tipo_proceso,5.3.2.1,PENAL PÙBLICA A INSTANCIA DE PARTE CONTRA LA VIOLENCIA HACIA LA ACCIÓN,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,encabezado_padre_adherido,correccion_acotada_por_cuadro,tabla=causas_por_tipo_proceso|cuadro=5.3.2.1|paginas=364|literal_actual=PENAL PÙBLICA A INSTANCIA DE PARTE CONTRA LA VIOLENCIA HACIA LA ACCIÓN,confirmado,alta,"PDF pp. 364, cuadro(s) 5.3.2.1: la fila fuente es «ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Después de recuperar el literal, conservar como dimensión distinta de tipo_proceso."
R039,causas_por_tipo_proceso,5.1.1.1,"REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS","INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",inicio_multilinea_asignado_a_fila_anterior,correccion_acotada_por_fila_contexto,"tabla=causas_por_tipo_proceso|cuadro=5.1.1.1|paginas=122;124;125;127;129;130|literal_actual=REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",confirmado,alta,"PDF pp. 122;124;125;127;129;130, cuadro(s) 5.1.1.1: la fila fuente es «INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
